timestamp_us,angle_deg,altitude_m,score,top_val,mid_val,bot_val
861068,0,-1.0,536.3939393939394,448.0,663.0,691.0
930272,0,-1.0,539.3939393939395,452.6,667.4,691.0000000000001
986746,0,-1.0,545.9272727272728,467.48,672.12,691.0000000000001
1033900,0,-1.0,562.4872727272729,513.384,675.8960000000001,691.0000000000001
1102941,0,-1.0,575.935272727273,550.7072000000001,678.9168000000001,691.0000000000001
1218342,0,-1.0,586.6936727272729,579.96576,682.53344,690.4000000000001
1349148,0,-1.0,595.3003927272728,603.372608,685.4267520000001,689.9200000000001
1453910,0,-1.0,603.9857687272728,623.2980864,688.9414016000001,692.5360000000001
1558794,0,-1.0,610.9340695272728,639.23846912,691.7531212800001,694.6288000000001
1670755,0,-1.0,616.4927101672729,651.990775296,694.0024970240001,696.3030400000001
1776424,0,-1.0,620.9396226792729,662.1926202368,695.8019976192002,697.6424320000001
1885457,0,-1.0,624.4971526888729,670.35409618944,697.2415980953601,698.7139456000001
1990392,0,-1.0,627.3431766965529,676.883276951552,698.3932784762882,699.5711564800001
2090275,0,-1.0,629.6199959026968,682.1066215612417,699.3146227810306,700.2569251840001
2201169,0,-1.0,631.4414512676121,686.2852972489934,700.0516982248246,700.8055401472002
2302446,0,-1.0,632.8986155595443,689.6282377991947,700.6413585798597,701.2444321177602
2399857,0,-1.0,634.06434699309,692.3025902393558,701.1130868638878,701.5955456942082
2494250,0,-1.0,634.9969321399266,694.4420721914847,701.4904694911103,701.8764365553666
2598660,0,-1.0,635.7430002573959,696.1536577531879,701.7923755928882,702.1011492442933
2705517,0,-1.0,636.3398547513713,697.5229262025504,702.0339004743106,702.2809193954347
2804191,0,-1.0,636.8173383465515,698.6183409620403,702.2271203794485,702.4247355163478
2907249,0,-1.0,637.1993252226958,699.4946727696323,702.3816963035588,702.5397884130783
3033542,0,-1.0,637.5049147236113,700.1957382157059,702.5053570428471,702.6318307304628
3142241,0,-1.0,637.7493863243436,700.7565905725647,702.6042856342777,702.7054645843702
3250720,0,-1.0,637.9449636049295,701.2052724580518,702.6834285074223,702.7643716674962
3357010,0,-1.0,638.1014254293982,701.5642179664414,702.7467428059379,702.8114973339971
3441343,0,-1.0,638.2265948889732,701.8513743731532,702.7973942447503,702.8491978671977
3531879,0,-1.0,638.3267304566332,702.0810994985227,702.8379153958003,702.8793582937583
3617465,0,-1.0,638.4068389107612,702.2648795988182,702.8703323166403,702.9034866350066
3708061,0,-1.0,638.4709256740636,702.4119036790546,702.8962658533123,702.9227893080053
3800650,0,-1.0,638.5221950847053,702.5295229432437,702.9170126826499,702.9382314464043
3892473,0,-1.0,638.5632106132189,702.623618354595,702.9336101461199,702.9505851571234
3985697,0,-1.0,638.5960230360296,702.698894683676,702.9468881168959,702.9604681256988
4083177,0,-1.0,638.6222729742783,702.7591157469409,702.9575104935168,702.9683745005591
4182944,0,-1.0,638.6432729248774,702.8072925975528,702.9660083948135,702.9746996004474
4277984,0,-1.0,638.6600728853564,702.8458340780422,702.9728067158508,702.9797596803579
4376439,0,-1.0,638.6735128537397,702.8766672624338,702.9782453726807,702.9838077442864
4465555,0,-1.0,638.6842648284463,702.9013338099471,702.9825962981446,702.9870461954292
4559642,0,-1.0,638.6928664082118,702.9210670479578,702.9860770385158,702.9896369563435
4665538,0,-1.0,638.699747672024,702.9368536383663,702.9888616308126,702.9917095650749
4755075,0,-1.0,638.7052526830738,702.9494829106931,702.9910893046501,702.99336765206
4848664,0,-1.0,638.7096566919137,702.9595863285545,702.9928714437201,702.9946941216481
4952751,0,-1.0,638.7131798989855,702.9676690628436,702.9942971549762,702.9957552973185
5048673,0,-1.0,638.715998464643,702.9741352502749,702.995437723981,702.9966042378549
5140150,0,-1.0,638.718253317169,702.97930820022,702.9963501791849,702.9972833902839
5233648,0,-1.0,638.7200571991898,702.983446560176,702.997080143348,702.9978267122272
5330855,0,-1.0,638.7215003048065,702.9867572481409,702.9976641146784,702.9982613697817
5427930,0,-1.0,638.7226547892998,702.9894057985127,702.9981312917428,702.9986090958255
5524203,0,-1.0,638.7235783768944,702.9915246388102,702.9985050333943,702.9988872766604
5622659,0,-1.0,638.7243172469701,702.9932197110483,702.9988040267154,702.9991098213284
5708816,0,-1.0,638.7249083430306,702.9945757688387,702.9990432213724,702.9992878570628
5798634,0,-1.0,638.7253812198791,702.995660615071,702.9992345770979,702.9994302856503
5885280,0,-1.0,638.7257595213579,702.9965284920568,702.9993876616784,702.9995442285203
5977388,0,-1.0,638.726062162541,702.9972227936455,702.9995101293428,702.9996353828163
6065742,0,-1.0,638.7263042754873,702.9977782349165,702.9996081034742,702.9997083062531
6157678,0,-1.0,638.7264979658445,702.9982225879332,702.9996864827795,702.9997666450025
6254486,0,-1.0,638.7266529181302,702.9985780703466,702.9997491862237,702.999813316002
6345534,0,-1.0,638.7267768799587,702.9988624562774,702.999799348979,702.9998506528017
6445687,0,-1.0,638.7268760494217,702.999089965022,702.9998394791833,702.9998805222414
6544972,0,-1.0,638.7269553849919,702.9992719720176,702.9998715833467,702.9999044177931
6645007,0,-1.0,638.7270188534482,702.9994175776142,702.9998972666774,702.9999235342345
6731792,0,-1.0,638.7270696282131,702.9995340620914,702.999917813342,702.9999388273877
6826889,0,-1.0,638.727110248025,702.9996272496732,702.9999342506736,702.9999510619102
6912332,0,-1.0,638.7271427438747,702.9997017997385,702.999947400539,702.9999608495282
6995192,0,-1.0,638.7271687405542,702.9997614397909,702.9999579204313,702.9999686796226
7087963,0,-1.0,638.7271895378981,702.9998091518328,702.9999663363451,702.9999749436981
7185352,0,-1.0,638.7272061757731,702.9998473214663,702.9999730690761,702.9999799549586
7278289,0,-1.0,638.7272194860731,702.999877857173,702.9999784552609,702.9999839639669
7367860,0,-1.0,638.7272301343131,702.9999022857385,702.9999827642088,702.9999871711735
7465410,0,-1.0,638.727238652905,702.9999218285908,702.9999862113671,702.9999897369389
7570541,0,-1.0,638.7272454677785,702.9999374628727,702.9999889690937,702.9999917895511
7665870,0,-1.0,638.7272509196774,702.9999499702982,702.999991175275,702.999993431641
7763999,0,-1.0,638.7272552811966,702.9999599762386,702.9999929402201,702.9999947453128
7867309,0,-1.0,638.7272587704119,702.999967980991,702.9999943521761,702.9999957962503
7966350,0,-1.0,638.7272615617841,702.9999743847928,702.9999954817409,702.9999966370003
8062242,0,-1.0,638.7272637948819,702.9999795078343,702.9999963853928,702.9999973096003
8158231,0,-1.0,638.7272655813601,702.9999836062675,702.9999971083143,702.9999978476803
8258777,0,-1.0,638.7272670105427,702.9999868850141,702.9999976866516,702.9999982781443
8362880,0,-1.0,638.7272681538888,702.9999895080114,702.9999981493213,702.9999986225155
8458599,0,-1.0,638.7272690685655,702.9999916064091,702.9999985194571,702.9999988980124
8561177,0,-1.0,638.7272698003071,702.9999932851274,702.9999988155657,702.99999911841
8659634,0,-1.0,638.7272703857003,702.999994628102,702.9999990524526,702.999999294728
8749577,0,-1.0,638.7272708540148,702.9999957024816,702.9999992419621,702.9999994357825
8840593,0,-1.0,638.7272712286664,702.9999965619853,702.9999993935697,702.999999548626
8933179,0,-1.0,638.7272715283877,702.9999972495883,702.9999995148559,702.9999996389008
9017360,0,-1.0,638.7272717681648,702.9999977996707,702.9999996118847,702.9999997111207
